measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,128,Guatemala,3,Both,22,All ages,558,Mental disorders,1,Number,2017,767932.5377259855,886416.4015082757,669517.4118050153
6,Incidence,128,Guatemala,3,Both,22,All ages,558,Mental disorders,1,Number,2018,783653.400245979,910413.7789110572,682265.751419422
6,Incidence,128,Guatemala,3,Both,22,All ages,558,Mental disorders,1,Number,2019,799255.6610349303,934493.7953584244,696793.9290246519
6,Incidence,128,Guatemala,3,Both,22,All ages,558,Mental disorders,1,Number,2020,988864.9568040436,1242990.9033440074,795306.286663464
6,Incidence,128,Guatemala,3,Both,22,All ages,558,Mental disorders,1,Number,2021,998729.6432037908,1252894.6371509708,804136.0392973484
6,Incidence,113,Guyana,3,Both,22,All ages,558,Mental disorders,1,Number,2017,53193.02166755541,61274.658719261366,46588.214390197565
6,Incidence,113,Guyana,3,Both,22,All ages,558,Mental disorders,1,Number,2018,53419.12030035155,61756.55591009508,46976.19772101367
6,Incidence,113,Guyana,3,Both,22,All ages,558,Mental disorders,1,Number,2019,54226.94368625974,62823.01476443154,47945.93423005006
6,Incidence,113,Guyana,3,Both,22,All ages,558,Mental disorders,1,Number,2020,63714.21128568314,79465.46600332395,50921.78706239425
6,Incidence,113,Guyana,3,Both,22,All ages,558,Mental disorders,1,Number,2021,70656.21893717097,88517.04422733045,55947.35299679349
6,Incidence,146,Lebanon,3,Both,22,All ages,558,Mental disorders,1,Number,2017,404147.06055402034,472303.7291703989,354098.1948136304
6,Incidence,146,Lebanon,3,Both,22,All ages,558,Mental disorders,1,Number,2018,396907.339134607,467287.8703948272,342958.15047272923
6,Incidence,146,Lebanon,3,Both,22,All ages,558,Mental disorders,1,Number,2019,394790.7577833161,464915.5009869478,336179.67990225635
6,Incidence,146,Lebanon,3,Both,22,All ages,558,Mental disorders,1,Number,2020,461078.0261780153,583286.1787477267,360454.8887019321
6,Incidence,146,Lebanon,3,Both,22,All ages,558,Mental disorders,1,Number,2021,541088.8104618267,695619.6281256105,419660.6198630453
6,Incidence,195,Namibia,3,Both,22,All ages,558,Mental disorders,1,Number,2017,101592.5209078379,118746.33072631668,88372.88201629996
6,Incidence,195,Namibia,3,Both,22,All ages,558,Mental disorders,1,Number,2018,103617.36303764809,120881.55839084496,89766.61651153822
6,Incidence,195,Namibia,3,Both,22,All ages,558,Mental disorders,1,Number,2019,105571.6329907178,122749.15766820865,91301.94324359923
6,Incidence,195,Namibia,3,Both,22,All ages,558,Mental disorders,1,Number,2020,120439.3338646456,147979.7055146664,98705.36308425144
6,Incidence,195,Namibia,3,Both,22,All ages,558,Mental disorders,1,Number,2021,148067.6588767769,185807.7378423033,118977.43031105014
6,Incidence,197,Eswatini,3,Both,22,All ages,558,Mental disorders,1,Number,2017,59976.10911145272,69862.76400777108,51826.98927996559
6,Incidence,197,Eswatini,3,Both,22,All ages,558,Mental disorders,1,Number,2018,60694.83562887402,71277.46779224701,52292.70142578252
6,Incidence,197,Eswatini,3,Both,22,All ages,558,Mental disorders,1,Number,2019,61493.853044996045,73195.64134548561,52803.60155162131
6,Incidence,197,Eswatini,3,Both,22,All ages,558,Mental disorders,1,Number,2020,74749.34359678211,96736.35404241412,59188.789734456426
6,Incidence,197,Eswatini,3,Both,22,All ages,558,Mental disorders,1,Number,2021,89018.8799615361,113480.03612600808,69362.19777365666
