Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
latvia,2020-05,0.2008915341935484,Physical asault by IPFM* (domestic violence): Female victims,10,56
latvia,2020-06,0.11898332,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,14,56
latvia,2020-06,0.11898332,Sexual violence by IPFM* (domestic violence): Female victims,5,56
latvia,2020-06,0.11898332,Physical asault by IPFM* (domestic violence): Male victims,9,56
latvia,2020-06,0.11898332,Physical asault by IPFM* (domestic violence): Female victims,8,56
latvia,2020-07,0.017149277,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,10,56
latvia,2020-07,0.017149277,Sexual violence by IPFM* (domestic violence): Female victims,0,56
latvia,2020-07,0.017149277,Physical asault by IPFM* (domestic violence): Male victims,7,56
latvia,2020-07,0.017149277,Physical asault by IPFM* (domestic violence): Female victims,13,56
latvia,2020-08,0.039198348,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,12,54.666666666666664
latvia,2020-08,0.039198348,Sexual violence by IPFM* (domestic violence): Female victims,1,54.666666666666664
latvia,2020-08,0.039198348,Physical asault by IPFM* (domestic violence): Male victims,12,54.666666666666664
latvia,2020-08,0.039198348,Physical asault by IPFM* (domestic violence): Female victims,10,54.666666666666664
lebanon,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,31,NA
lebanon,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,55,NA
lebanon,2020-03,0.040913127,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,45,NA
lebanon,2020-04,0.093672342,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,68,NA
lebanon,2020-05,0.014439927,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1,NA
lebanon,2020-06,0.040618981,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1,NA
lebanon,2020-07,0.1042883617419355,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1,NA
lithuania,2020-01,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,620,67.33333333333333
lithuania,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,581,67.33333333333333
lithuania,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,201,67.33333333333333
lithuania,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,541,67.33333333333333
lithuania,2020-02,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,622,69.66666666666667
lithuania,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,592,69.66666666666667
lithuania,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,130,69.66666666666667
lithuania,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,443,69.66666666666667
lithuania,2020-03,0.040899046,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,691,75.33333333333333
lithuania,2020-03,0.040899046,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,652,75.33333333333333
lithuania,2020-03,0.040899046,Physical asault by IPFM* (domestic violence): Male victims,125,75.33333333333333
lithuania,2020-03,0.040899046,Physical asault by IPFM* (domestic violence): Female victims,435,75.33333333333333
lithuania,2020-04,0.3228843224666667,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,712,80
lithuania,2020-04,0.3228843224666667,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,672,80
lithuania,2020-04,0.3228843224666667,Physical asault by IPFM* (domestic violence): Male victims,131,80
lithuania,2020-04,0.3228843224666667,Physical asault by IPFM* (domestic violence): Female victims,403,80
lithuania,2020-05,0.2404863837419355,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,719,84
lithuania,2020-05,0.2404863837419355,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,677,84
lithuania,2020-05,0.2404863837419355,Physical asault by IPFM* (domestic violence): Male victims,155,84
lithuania,2020-05,0.2404863837419355,Physical asault by IPFM* (domestic violence): Female victims,513,84
lithuania,2020-06,0.1081916095666667,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,927,88
lithuania,2020-06,0.1081916095666667,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,861,88
lithuania,2020-06,0.1081916095666667,Physical asault by IPFM* (domestic violence): Male victims,203,88
lithuania,2020-06,0.1081916095666667,Physical asault by IPFM* (domestic violence): Female victims,647,88
lithuania,2020-07,0.022903466,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,802,85.33333333333333
lithuania,2020-07,0.022903466,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,758,85.33333333333333
lithuania,2020-07,0.022903466,Physical asault by IPFM* (domestic violence): Male victims,158,85.33333333333333
lithuania,2020-07,0.022903466,Physical asault by IPFM* (domestic violence): Female victims,576,85.33333333333333
lithuania,2020-08,0.063802512,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,867,91.33333333333333
lithuania,2020-08,0.063802512,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,817,91.33333333333333
lithuania,2020-08,0.063802512,Physical asault by IPFM* (domestic violence): Male victims,204,91.33333333333333
lithuania,2020-08,0.063802512,Physical asault by IPFM* (domestic violence): Female victims,551,91.33333333333333
maldives,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,56,NA
maldives,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,12,NA
maldives,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,2,NA
maldives,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,16,NA
maldives,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,66,NA
maldives,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,16,NA
maldives,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,9,NA
maldives,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,17,NA
maldives,2020-03,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,64,NA
maldives,2020-03,0,Sexual violence by IPFM* (domestic violence): Female victims,10,NA
maldives,2020-03,0,Physical asault by IPFM* (domestic violence): Male victims,10,NA
maldives,2020-03,0,Physical asault by IPFM* (domestic violence): Female victims,13,NA
maldives,2020-04,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,36,NA
maldives,2020-04,0,Sexual violence by IPFM* (domestic violence): Female victims,4,NA
maldives,2020-04,0,Physical asault by IPFM* (domestic violence): Male victims,7,NA
maldives,2020-04,0,Physical asault by IPFM* (domestic violence): Female victims,12,NA
mongolia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,17,NA
mongolia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,8,NA
mongolia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,7,NA
mongolia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,15,NA
mongolia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,9,NA
mongolia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,5,NA
mongolia,2020-03,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,11,NA
mongolia,2020-03,0,Sexual violence by IPFM* (domestic violence): Female victims,5,NA
mongolia,2020-03,0,Physical asault by IPFM* (domestic violence): Female victims,4,NA
mongolia,2020-04,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,18,NA
mongolia,2020-04,0,Sexual violence by IPFM* (domestic violence): Female victims,5,NA
mongolia,2020-04,0,Physical asault by IPFM* (domestic violence): Female victims,8,NA
mongolia,2020-05,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,21,NA
mongolia,2020-05,0,Sexual violence by IPFM* (domestic violence): Female victims,7,NA
mongolia,2020-05,0,Physical asault by IPFM* (domestic violence): Female victims,13,NA
